school_ward_id,fed_district_name,current_trustee
1,Etobicoke North,John Hastings
2,Etobicoke Centre,Chris Glover
3,Etobicoke - Lakeshore,Pamela Gough
4,York West,Stephnie Payne
5,York Centre,Howard Kaplan
6,York South - Weston,Chris Tonks
7,Parkdale - High Park,Irene Atkinson
8,Eglinton - Lawrence,Howard Goodman
9,Davenport,Maria Rodrigues
10,Trinity - Spadina,Chris Bolton
11,St. Pauls,Shelley Laskin
12,Willowdale,Mari Rutka
13,Don Valley West,Gerri Gershon
14,Toronto Centre - Rosedale,Sheila Ward
15,Broadview - Greenwood,Cathy Dandy
16,Beaches - East York,Sheila Cary-Meagher
17,Don Valley East,Harout Manougian
18,Scarborough - Southwest,Elizabeth Moyer
19,Scarborough Centre,David Smith
20,Scarborough - Agincourt,Sam Sotiropoulos
21,Scarborough - Rouge River,Shaun Chen
22,Scarborough East,Jerry Chadwick
